Key|Name|SortName|Dates|SortWithDates|Role|Epoque||
albergati|Pirro Capacelli Albergati|Albergati, Pirro Capacelli|(1663-1735)|Albergati, Pirro Capacelli (1663-1735)|Composer|Baroque|Albergati|
albericmagnard|Albéric Magnard|Magnard, Albéric|(1865-1914)|Magnard, Albéric (1865-1914)|Composer|Romantic|Magnard|Magnard, Albéric
albert|Heinrich Albert|Albert, Heinrich|(1604-1651)|Albert, Heinrich (1604-1651)|Composer|Baroque|Albert|
albertbouchard|Albert Bouchard|Bouchard, Albert||Bouchard, Albert|Composer||Bouchard|Bouchard, Albert
alberti|Domenico Alberti|Alberti, Domenico|(c1710-1740)|Alberti, Domenico (c1710-1740)|Composer|Baroque|Alberti|
albertini|Ignazio Albertini|Albertini, Ignazio|(1644-1685)|Albertini, Ignazio (1644-1685)|Composer|Baroque|Albertini|
albertketelbey|Albert Ketèlbey|Ketèlbey, Albert|(1875-1959)|Ketèlbey, Albert (1875-1959)|Composer|Romantic|Ketèlbey|Albert Ketèlbey (1875-1959)
albertodaripa|Alberto Da Ripa|Da Ripa, Alberto|(c. 1500–1551)|Da Ripa, Alberto (c. 1500–1551)|Composer|Renaissance|Ripa|Ripa, Alberto Da
albertoginastera|Alberto Ginastera|Ginastera, Alberto|(1916-1983)|Ginastera, Alberto (1916-1983)|Composer|20th Century|Ginastera|Ginastera, Alberto
albertonepomuceno|Alberto Nepomuceno|Nepomuceno, Alberto|(1864-1920)|Nepomuceno, Alberto (1864-1920)|Composer|Romantic|Nepomuceno|Alberto Nepomuceno (1864-1920)
albertowilliams|Alberto Williams|Williams, Alberto|(1862-1952)|Williams, Alberto (1862-1952)|Composer|Romantic|Williams|Alberto Williams (1862-1952)
albertroussel|Albert Roussel|Roussel, Albert|(1869-1937)|Roussel, Albert (1869-1937)|Composer|Romantic|Roussel|Roussel, Albert
albertusbryne|Albertus Bryne|Bryne, Albertus|(1621-1668)|Bryne, Albertus (1621-1668)|Composer|Baroque|Bryne|Albertus Bryne (1621-1668)
albinoni|Tomaso Albinoni|Albinoni, Tomaso|(1671-1751)|Albinoni, Tomaso (1671-1751)|Composer|Baroque|Albinoni|
albrechtsberger|Johann Georg Albrechtsberger|Albrechtsberger, Johann Georg|(1736-1809)|Albrechtsberger, Johann Georg (1736-1809)|Composer|Classical|Albrechtsberger|
albrici|Vincenzo Albrici|Albrici, Vincenzo|(1631-1696)|Albrici, Vincenzo (1631-1696)|Composer|Baroque|Albrici|
alcock|John Alcock|Alcock, John|(1715-1806)|Alcock, John (1715-1806)|Composer|Classical|Alcock|
aldebrandosubissati [de]|Aldebrando Subissati [de]|Subissati [de], Aldebrando|(1606-1677)|Subissati [de], Aldebrando (1606-1677)|Composer|Baroque|Subissati [de]|Aldebrando Subissati [de] (1606-1677)
aldrovandini|Giuseppe Aldrovandini|Aldrovandini, Giuseppe|(1671-1707)|Aldrovandini, Giuseppe (1671-1707)|Composer|Baroque|Aldrovandini|
alecwilder|Alec Wilder|Wilder, Alec||Wilder, Alec|Composer||Wilder|Wilder, Alec
aleotti|Vittoria Aleotti|Aleotti, Vittoria|(c1575-after 1620)|Aleotti, Vittoria (c1575-after 1620)|Composer|Baroque|Aleotti|
alessandrobesozzi|Alessandro Besozzi|Besozzi, Alessandro|(1702-1775)|Besozzi, Alessandro (1702-1775)|Composer|Classical|Besozzi|Alessandro Besozzi (1702-1775)
alessandrograndi|Alessandro Grandi|Grandi, Alessandro|(1586-1630)|Grandi, Alessandro (1586-1630)|Composer|Baroque|Grandi|Alessandro Grandi (1586-1630)
alessandromarcello|Alessandro Marcello|Marcello, Alessandro|(1684-1750)|Marcello, Alessandro (1684-1750)|Composer|Baroque|Marcello|Marcello, Alessandro
alessandromelani|Alessandro Melani|Melani, Alessandro|(1639-1703)|Melani, Alessandro (1639-1703)|Composer|Baroque|Melani|Alessandro Melani (1639-1703)
alessandropiccinini|Alessandro Piccinini|Piccinini, Alessandro|(1566-1638)|Piccinini, Alessandro (1566-1638)|Composer|Baroque|Piccinini|Alessandro Piccinini (1566-1638)
alessandropoglietti|Alessandro Poglietti|Poglietti, Alessandro|(early 17th century-1683)|Poglietti, Alessandro (early 17th century-1683)|Composer|Baroque|Poglietti|Alessandro Poglietti (early 17th century-1683)
alessandrorolla|Alessandro Rolla|Rolla, Alessandro|(1757-1841)|Rolla, Alessandro (1757-1841)|Composer|Classical|Rolla|Alessandro Rolla (1757-1841)
alessandroscarlatti|Alessandro Scarlatti|Scarlatti, Alessandro|(1660-1725)|Scarlatti, Alessandro (1660-1725)|Composer|Baroque|Scarlatti|Scarlatti, Alessandro
alessandrostradella|Alessandro Stradella|Stradella, Alessandro|(1639-1682)|Stradella, Alessandro (1639-1682)|Composer|Baroque|Stradella|Stradella, Alessandro
alessiacaracciolo|Alessia Caracciolo|Caracciolo, Alessia||Caracciolo, Alessia|Composer||Caracciolo|Caracciolo, Alessia
alexander|Alex Ander|Ander, Alex||Ander, Alex|Composer||Ander|Ander, Alex
alexanderagricola|Alexander Agricola|Agricola, Alexander|(c1446-1506)|Agricola, Alexander (c1446-1506)|Composer|Renaissance|Agricola|Agricola, Alexander
alexanderalyabyev|Alexander Alyabyev|Alyabyev, Alexander|(1787-1851)|Alyabyev, Alexander (1787-1851)|Composer|Romantic|Alyabyev|Alexander Alyabyev (1787-1851)
alexanderarutiunian|Alexander Arutiunian|Arutiunian, Alexander|(1920-2012)|Arutiunian, Alexander (1920-2012)|Composer|20th Century|Arutiunian|Arutiunian, Alexander
alexanderblachly|Alexander Blachly|Blachly, Alexander|||Conductor||Blachly|
alexanderborodin|Alexander Borodin|Borodin, Alexander|(1833-1887)|Borodin, Alexander (1833-1887)|Composer|Romantic|Borodin|Borodin, Alexander
alexanderdargomyzhsky|Alexander Dargomyzhsky|Dargomyzhsky, Alexander|(1813-1869)|Dargomyzhsky, Alexander (1813-1869)|Composer|Romantic|Dargomyzhsky|Alexander Dargomyzhsky (1813-1869)
