Key|Name|SortName|Dates|SortWithDates|Role|Epoque||
krufft|Nikolaus von Krufft|Krufft, Nikolaus von|(1779-1818)|Krufft, Nikolaus von (1779-1818)|Composer|Romantic|Krufft|
krumpholtz|Anne-Marie Krumpholtz|Krumpholtz, Anne-Marie|(1766-1813)|Krumpholtz, Anne-Marie (1766-1813)|Composer|Classical|Krumpholtz|
krumpholz|Jean-Baptiste Krumpholz|Krumpholz, Jean-Baptiste|(1742-1790)|Krumpholz, Jean-Baptiste (1742-1790)|Composer|Classical|Krumpholz|
krystofharantzpolzicabezdruzic|Kryštof Harant z Polžic a Bezdružic|Bezdružic, Kryštof Harant z Polžic a|(1564-1621)|Bezdružic, Kryštof Harant z Polžic a (1564-1621)|Composer|Baroque|Bezdružic|Kryštof Harant z Polžic a Bezdružic (1564-1621)
krzysztofklabon|Krzysztof Klabon|Klabon, Krzysztof|(1550-1616)|Klabon, Krzysztof (1550-1616)|Composer|Baroque|Klabon|Krzysztof Klabon (1550-1616)
krzysztofpenderecki|Krzysztof Penderecki|Penderecki, Krzysztof|(b1933)|Penderecki, Krzysztof (b1933)|Composer|20th Century|Penderecki|Penderecki, Krzysztof
kuchař|Jan Křtitel Kuchař|Kuchař, Jan Křtitel|(1751-1829)|Kuchař, Jan Křtitel (1751-1829)|Composer|Classical|Kuchař|
kuffner|Joseph Küffner|Küffner, Joseph|(1776-1856)|Küffner, Joseph (1776-1856)|Composer|Romantic|Küffner|
kuhlau|Friedrich Kuhlau|Kuhlau, Friedrich|(1786-1832)|Kuhlau, Friedrich (1786-1832)|Composer|Romantic|Kuhlau|
kuhnau|Johann Kuhnau|Kuhnau, Johann|(1660-1722)|Kuhnau, Johann (1660-1722)|Composer|Baroque|Kuhnau|
kuhnel|August Kühnel|Kühnel, August|(1645-c1700)|Kühnel, August (1645-c1700)|Composer|Baroque|Kühnel|
kunits|Luigi von Kunits|Kunits, Luigi von|(1870-1931)|Kunits, Luigi von (1870-1931)|Composer|Romantic|Kunits|
kunzen|Friedrich Ludwig Aemilius Kunzen|Kunzen, Friedrich Ludwig Aemilius|(1761-1817)|Kunzen, Friedrich Ludwig Aemilius (1761-1817)|Composer|Classical|Kunzen|
kunzen [de]|Adolph Carl Kunzen [de]|Kunzen [de], Adolph Carl|(1720-1781)|Kunzen [de], Adolph Carl (1720-1781)|Composer|Classical|Kunzen [de]|
kupiainen|Kupiainen|Kupiainen||Kupiainen|Composer||Kupiainen|Kupiainen,
kurmangazysagyrbayuly|Kurmangazy Sagyrbayuly|Sagyrbayuly, Kurmangazy|(1823-1896)|Sagyrbayuly, Kurmangazy (1823-1896)|Composer|Romantic|Sagyrbayuly|Kurmangazy Sagyrbayuly (1823-1896)
kurpiński|Karol Kurpiński|Kurpiński, Karol|(1785-1857)|Kurpiński, Karol (1785-1857)|Composer|Romantic|Kurpiński|
kurtmasur|Kurt Masur|Masur, Kurt|||Conductor||Masur|
kusser|Johann Sigismund Kusser|Kusser, Johann Sigismund|(1660-1727)|Kusser, Johann Sigismund (1660-1727)|Composer|Baroque|Kusser|
kuyper|Elisabeth Kuyper|Kuyper, Elisabeth|(1877-1953)|Kuyper, Elisabeth (1877-1953)|Composer|Romantic|Kuyper|
lachner|Franz Lachner|Lachner, Franz|(1803-1890)|Lachner, Franz (1803-1890)|Composer|Romantic|Lachner|
lachnith|Ludwig Wenzel Lachnith|Lachnith, Ludwig Wenzel|(1746-1820)|Lachnith, Ludwig Wenzel (1746-1820)|Composer|Classical|Lachnith|
lacunacoil|Lacuna Coil|Lacuna Coil||Lacuna Coil|Composer||Coil|Coil, Lacuna
ladmirault|Paul Ladmirault|Ladmirault, Paul|(1877-1944)|Ladmirault, Paul (1877-1944)|Composer|Romantic|Ladmirault|
ladurner [fr]|Ignaz Anton Ladurner [fr]|Ladurner [fr], Ignaz Anton|(1766-1839)|Ladurner [fr], Ignaz Anton (1766-1839)|Composer|Classical|Ladurner [fr]|
ladymarydering|Lady Mary Dering|Dering, Lady Mary|(1629-1704)|Dering, Lady Mary (1629-1704)|Composer|Baroque|Dering|Lady Mary Dering (1629-1704)
lahtisymphonyorchestra|Lahti Symphony Orchestra|Lahti Symphony Orchestra|||Orchestra|||
lahtisymphonyorchestraosmovanska|Lahti Symphony OrchestraOsmo Vänskä|Lahti Symphony OrchestraOsmo Vänskä|||Orchestra|||
laks|Szymon Laks|Laks, Szymon|(1901-1983)|Laks, Szymon (1901-1983)|Composer|20th Century|Laks|
lalo|Édouard Lalo|Lalo, Édouard|(1823-1892)|Lalo, Édouard (1823-1892)|Composer|Romantic|Lalo|
lalouette|Jean-François Lalouette|Lalouette, Jean-François|(1651-1728)|Lalouette, Jean-François (1651-1728)|Composer|Baroque|Lalouette|
lamas|José Ángel Lamas|Lamas, José Ángel|(1775-1814)|Lamas, José Ángel (1775-1814)|Composer|Romantic|Lamas|
lamb|Joseph F. Lamb|Lamb, Joseph F.|(1887-1960)|Lamb, Joseph F. (1887-1960)|Composer|20th Century|Lamb|
lambardi|Camillo Lambardi|Lambardi, Camillo|(c1560-1634) [1]|Lambardi, Camillo (c1560-1634) [1]|Composer|Baroque|Lambardi|
lambe|Walter Lambe|Lambe, Walter|(fl. 1450)|Lambe, Walter (fl. 1450)|Composer|Renaissance|Lambe|
lambert|Michel Lambert|Lambert, Michel|(1610-1696)|Lambert, Michel (1610-1696)|Composer|Baroque|Lambert|
lambertchaumont|Lambert Chaumont|Chaumont, Lambert|(c1635-1712)|Chaumont, Lambert (c1635-1712)|Composer|Baroque|Chaumont|Lambert Chaumont (c1635-1712)
lamontdozier|Lamont Dozier|Dozier, Lamont||Dozier, Lamont|Composer||Dozier|Dozier, Lamont
lamothe|"Ferdinand Joseph ""Jelly Roll Morton"" LaMothe"|"LaMothe, Ferdinand Joseph ""Jelly Roll Morton"""|(1890-1941)|"LaMothe, Ferdinand Joseph ""Jelly Roll Morton"" (1890-1941)"|Composer|20th Century|LaMothe|
lampe|John Frederick Lampe|Lampe, John Frederick|(1703-1751)|Lampe, John Frederick (1703-1751)|Composer|Classical|Lampe|
landi|Stefano Landi|Landi, Stefano|(1586-1639)|Landi, Stefano (1586-1639)|Composer|Baroque|Landi|
landini|Francesco Landini|Landini, Francesco|(13??)|Landini, Francesco (13??)|Composer|Medieval|Landini|
lang|Josephine Lang|Lang, Josephine|(1815-1880)|Lang, Josephine (1815-1880)|Composer|Romantic|Lang|
langa|Francesco Soto de Langa|Langa, Francesco Soto de|(1534-1619)|Langa, Francesco Soto de (1534-1619)|Composer|Baroque|Langa|
langle|Honoré Langlé|Langlé, Honoré|(1741-1807)|Langlé, Honoré (1741-1807)|Composer|Classical|Langlé|
lanier|Nicholas Lanier|Lanier, Nicholas|(1588-1666)|Lanier, Nicholas (1588-1666)|Composer|Baroque|Lanier|
larionov|Ivan Larionov|Larionov, Ivan|(1830-1889)|Larionov, Ivan (1830-1889)|Composer|Romantic|Larionov|
larrybastian|Larry Bastian|Bastian, Larry||Bastian, Larry|Composer||Bastian|Bastian, Larry
larrybyrom|Larry Byrom|Byrom, Larry||Byrom, Larry|Composer||Byrom|Byrom, Larry
larsulrich|Lars Ulrich|Ulrich, Lars||Ulrich, Lars|Composer||Ulrich|Ulrich, Lars
lasceux|Guillaume Lasceux|Lasceux, Guillaume|(1740-1831)|Lasceux, Guillaume (1740-1831)|Composer|Classical|Lasceux|
lasso|Orlando Di Lasso|Lasso, Orlando Di|(1532-1594)|Lasso, Orlando Di (1532-1594)|Composer|Renaissance|Lasso|
lasson|Per Lasson|Lasson, Per|(1859-1883)|Lasson, Per (1859-1883)|Composer|Romantic|Lasson|
laszloczidra|László Czidra|Czidra, László|||Conductor||Czidra|
latilla|Gaetano Latilla|Latilla, Gaetano|(1711-1788)|Latilla, Gaetano (1711-1788)|Composer|Classical|Latilla|
lauffensteiner|Wolff Jakob Lauffensteiner|Lauffensteiner, Wolff Jakob|(1676-1754)|Lauffensteiner, Wolff Jakob (1676-1754)|Composer|Classical|Lauffensteiner|
lauramacri|Laura Macrì|Macrì, Laura||Macrì, Laura|Composer||Macrì|Macrì, Laura
laurencecummings|Laurence Cummings|Cummings, Laurence|||Conductor||Cummings|
laurenchristy|Lauren Christy|Christy, Lauren||Christy, Lauren|Composer||Christy|Christy, Lauren
laurentbelissen|Laurent Belissen|Belissen, Laurent|(1693-1762)|Belissen, Laurent (1693-1762)|Composer|Classical|Belissen|Laurent Belissen (1693-1762)
laurenti [it]|Pietro Paolo Laurenti [it]|Laurenti [it], Pietro Paolo|(1675-1719)|Laurenti [it], Pietro Paolo (1675-1719)|Composer|Baroque|Laurenti [it]|
lauriallantorni|Lauri Allan Törni|Törni, Lauri Allan||Törni, Lauri Allan|Composer||Törni|Törni, Lauri Allan
lauriporra|Lauri Porra|Porra, Lauri||Porra, Lauri|Composer||Porra|Porra, Lauri
lauriylonen|Lauri Ylönen|Ylönen, Lauri||Ylönen, Lauri|Composer||Ylönen|Ylönen, Lauri
lauska|Franz Lauska|Lauska, Franz|(1764-1825)|Lauska, Franz (1764-1825)|Composer|Classical|Lauska|
lavallee|Calixa Lavallée|Lavallée, Calixa|(1842-1891)|Lavallée, Calixa (1842-1891)|Composer|Romantic|Lavallée|
lawes|Henry Lawes|Lawes, Henry|(1595-1662)|Lawes, Henry (1595-1662)|Composer|Baroque|Lawes|
lawrencecole|Lawrence Cole|Cole, Lawrence||Cole, Lawrence|Composer||Cole|Cole, Lawrence
lazzari|Ferdinando Antonio Lazzari|Lazzari, Ferdinando Antonio|(1678-1754)|Lazzari, Ferdinando Antonio (1678-1754)|Composer|Classical|Lazzari|
learmontdrysdale|Learmont Drysdale|Drysdale, Learmont|(1866-1909)|Drysdale, Learmont (1866-1909)|Composer|Romantic|Drysdale|Learmont Drysdale (1866-1909)
leaveseyes|Leaves' Eyes|Leaves' Eyes||Leaves' Eyes|Composer||Eyes|Eyes, Leaves'
lebegue|Nicolas Lebègue|Lebègue, Nicolas|(1631-1702)|Lebègue, Nicolas (1631-1702)|Composer|Baroque|Lebègue|
lebrun|Francesca Lebrun also Franziska Danzi Lebrun|Lebrun, Francesca Lebrun also Franziska Danzi|(1756-1791)|Lebrun, Francesca Lebrun also Franziska Danzi (1756-1791)|Composer|Classical|Lebrun|
lechner|Leonhard Lechner|Lechner, Leonhard|(1553-1606)|Lechner, Leonhard (1553-1606)|Composer|Baroque|Lechner|
leclair laine|Jean-Marie Leclair l'aîné|Leclair l'aîné, Jean-Marie|(1697-1764)|Leclair l'aîné, Jean-Marie (1697-1764)|Composer|Classical|Leclair l'aîné|
leclerc|Michel Leclerc|Leclerc, Michel|(1914-1995)|Leclerc, Michel (1914-1995)|Composer|20th Century|Leclerc|
leemans|Pieter Leemans|Leemans, Pieter|(1897-1980)|Leemans, Pieter (1897-1980)|Composer|20th Century|Leemans|
lefevre|Jean-Xavier Lefèvre|Lefèvre, Jean-Xavier|(1763-1829)|Lefèvre, Jean-Xavier (1763-1829)|Composer|Classical|Lefèvre|
legrenzi|Giovanni Legrenzi|Legrenzi, Giovanni|(1626-1690)|Legrenzi, Giovanni (1626-1690)|Composer|Baroque|Legrenzi|
lehar|Franz Lehár|Lehár, Franz|(1870-1948)|Lehár, Franz (1870-1948)|Composer|Romantic|Lehár|
leifsegerstam|Leif Segerstam|Segerstam, Leif|||Conductor||Segerstam|
leighton|William Leighton|Leighton, William|(1565-1622)|Leighton, William (1565-1622)|Composer|Baroque|Leighton|
leipziggewandhausorchestra|Leipzig Gewandhaus Orchestra|Leipzig Gewandhaus Orchestra|||Orchestra|||
lekeu|Guillaume Lekeu|Lekeu, Guillaume|(1870-1894)|Lekeu, Guillaume (1870-1894)|Composer|Romantic|Lekeu|
leliocolista|Lelio Colista|Colista, Lelio|(1629-1680)|Colista, Lelio (1629-1680)|Composer|Baroque|Colista|Lelio Colista (1629-1680)
lemmy|Lemmy|Lemmy||Lemmy|Composer||Lemmy|Lemmy,
lemmykilmister|Lemmy Kilmister|Kilmister, Lemmy||Kilmister, Lemmy|Composer||Kilmister|Kilmister, Lemmy
lemoyne|Jean-Baptiste Lemoyne|Lemoyne, Jean-Baptiste|(1751-1796)|Lemoyne, Jean-Baptiste (1751-1796)|Composer|Classical|Lemoyne|
leningradphilharmonicorchestra|Leningrad Philharmonic Orchestra|Leningrad Philharmonic Orchestra|||Orchestra|||
lentz [nl]|Johan Nicolaas Lentz [nl]|Lentz [nl], Johan Nicolaas|(c1719-1782)|Lentz [nl], Johan Nicolaas (c1719-1782)|Composer|Classical|Lentz [nl]|
leo|Leonardo Leo|Leo, Leonardo|(1694-1744)|Leo, Leonardo (1694-1744)|Composer|Baroque|Leo|
leoarnaud|Leo Arnaud|Arnaud, Leo|(1904-1991)|Arnaud, Leo (1904-1991)|Composer|20th Century|Arnaud|Arnaud, Leo
leobrouwer|Leo Brouwer|Brouwer, Leo|||Conductor||Brouwer|
leodelibes|Léo Delibes|Delibes, Léo|(1836-1891)|Delibes, Léo (1836-1891)|Composer|Romantic|Delibes|Delibes, Léo
leofall|Leo Fall|Fall, Leo|(1873-1925)|Fall, Leo (1873-1925)|Composer|Romantic|Fall|Leo Fall (1873-1925)
leonarda|Isabella Leonarda|Leonarda, Isabella|(1620-1704)|Leonarda, Isabella (1620-1704)|Composer|Baroque|Leonarda|
leonardbernstein|Leonard Bernstein|Bernstein, Leonard|(1918-1990)|Bernstein, Leonard (1918-1990)|Composer|20th Century|Bernstein|Bernstein, Leonard
leonardcohen|Leonard Cohen|Cohen, Leonard||Cohen, Leonard|Composer||Cohen|Cohen, Leonard
leonarddehodemont|Léonard de Hodémont|Hodémont, Léonard de|(c1575-1639)|Hodémont, Léonard de (c1575-1639)|Composer|Baroque|Hodémont|Léonard de Hodémont (c1575-1639)
leonardi|Salvator Léonardi|Léonardi, Salvator|(1872-1938)|Léonardi, Salvator (1872-1938)|Composer|Romantic|Léonardi|
leonardoleo|Leonardo Leo|Leo, Leonardo|(1694-1744)|Leo, Leonardo (1694-1744)|Composer|Baroque|Leo|Leonardo Leo (1694-1744)
leonardovinci|Leonardo Vinci|Vinci, Leonardo|(c1690-1730)|Vinci, Leonardo (c1690-1730)|Composer|Baroque|Vinci|Leonardo Vinci (c1690-1730)
leonardslatkin|Leonard Slatkin|Slatkin, Leonard|||Conductor||Slatkin|
leonardwoodson|Leonard Woodson|Woodson, Leonard|(1565-1641)|Woodson, Leonard (1565-1641)|Composer|Baroque|Woodson|Leonard Woodson (1565-1641)
leoncavallo|Ruggero Leoncavallo|Leoncavallo, Ruggero|(1857-1919)|Leoncavallo, Ruggero (1857-1919)|Composer|Romantic|Leoncavallo|
leoneleoni|Leone Leoni|Leoni, Leone|(1560-1627)|Leoni, Leone (1560-1627)|Composer|Baroque|Leoni|Leone Leoni (1560-1627)
leonelpower|Leonel Power|Power, Leonel|(c. 1370/85-1445)|Power, Leonel (c. 1370/85-1445)|Composer|Medieval|Power|Power, Leonel
leonhardlechner|Leonhard Lechner|Lechner, Leonhard|(1553-1606)|Lechner, Leonhard (1553-1606)|Composer|Baroque|Lechner|Leonhard Lechner (1553-1606)
leoni|Leone Leoni|Leoni, Leone|(1560-1627)|Leoni, Leone (1560-1627)|Composer|Baroque|Leoni|
leonkrull|Leon Krull|Krull, Leon||Krull, Leon|Composer||Krull|Krull, Leon
leonorabaroni|Leonora Baroni|Baroni, Leonora|(1611-1670)|Baroni, Leonora (1611-1670)|Composer|Baroque|Baroni|Leonora Baroni (1611-1670)
leonoraduarte|Leonora Duarte|Duarte, Leonora|(1610-1678)|Duarte, Leonora (1610-1678)|Composer|Baroque|Duarte|Leonora Duarte (1610-1678)
leopoldgodowsky|Leopold Godowsky|Godowsky, Leopold|(1870-1938)|Godowsky, Leopold (1870-1938)|Composer|Romantic|Godowsky|Leopold Godowsky (1870-1938)
leopoldhofmann|Leopold Hofmann|Hofmann, Leopold|(1738-1793)|Hofmann, Leopold (1738-1793)|Composer|Classical|Hofmann|Leopold Hofmann (1738-1793)
leopoldi holyromanemperor|Leopold I, Holy Roman Emperor|Emperor, Leopold I, Holy Roman|(1640-1705)|Emperor, Leopold I, Holy Roman (1640-1705)|Composer|Baroque|Emperor|Leopold I, Holy Roman Emperor (1640-1705)
leopoldkozeluch|Leopold Kozeluch|Kozeluch, Leopold|(1747-1818)|Kozeluch, Leopold (1747-1818)|Composer|Classical|Kozeluch|Leopold Kozeluch (1747-1818)
leopoldmozart|Leopold Mozart|Mozart, Leopold|(1719-1787)|Mozart, Leopold (1719-1787)|Composer|Classical|Mozart|Mozart, Leopold
leopoldstokowski|Leopold Stokowski|Stokowski, Leopold|||Conductor||Stokowski|
leopoldvonzenetti|Leopold von Zenetti|Zenetti, Leopold von|(1805-1892)|Zenetti, Leopold von (1805-1892)|Composer|Romantic|Zenetti|Leopold von Zenetti (1805-1892)
leosjanacek|Leoš Janáček|Janáček, Leoš|(1854-1928)|Janáček, Leoš (1854-1928)|Composer|Romantic|Janáček|Janáček, Leoš
leosjanaček|Leoš Janáček|Janáček, Leoš|(1854-1928)|Janáček, Leoš (1854-1928)|Composer|Romantic|Janáček|Leoš Janáček (1854-1928)
leroimoore|Leroi Moore|Moore, Leroi||Moore, Leroi|Composer||Moore|Moore, Leroi
leroyanderson|Leroy Anderson|Anderson, Leroy||Anderson, Leroy|Composer||Anderson|Anderson, Leroy
lesbio [fi]|António Marques Lésbio [fi]|Lésbio [fi], António Marques|(1639-1709)|Lésbio [fi], António Marques (1639-1709)|Composer|Baroque|Lésbio [fi]|
leschetizky|Theodor Leschetizky|Leschetizky, Theodor|(1830-1915)|Leschetizky, Theodor (1830-1915)|Composer|Romantic|Leschetizky|
lesenechaldekerkado|Le Sénéchal de Kerkado|Kerkado, Le Sénéchal de|(1786-1805)|Kerkado, Le Sénéchal de (1786-1805)|Composer|Romantic|Kerkado|Le Sénéchal de Kerkado (1786-1805)
lesieurdemachy|Le Sieur de Machy|Machy, Le Sieur de|(d. after 1692)|Machy, Le Sieur de (d. after 1692)|Composer|Baroque|Machy|Le Sieur de Machy (d. after 1692)
leveridge|Richard Leveridge|Leveridge, Richard|(1670-1758)|Leveridge, Richard (1670-1758)|Composer|Classical|Leveridge|
levknipper|Lev Knipper|Knipper, Lev|(1898-1974)|Knipper, Lev (1898-1974)|Composer|20th Century|Knipper|Knipper, Lev
levy|Jules Levy|Levy, Jules|(1838-1903)|Levy, Jules (1838-1903)|Composer|Romantic|Levy|
lewishredner|Lewis H. Redner|Redner, Lewis H.||Redner, Lewis H.|Composer||Redner|Redner, Lewis H.
lewpollack|Lew Pollack|Pollack, Lew|(1895-1946)|Pollack, Lew (1895-1946)|Composer|20th Century|Pollack|Pollack, Lew
lialios|Demetrios Lialios|Lialios, Demetrios|(1869-1940)|Lialios, Demetrios (1869-1940)|Composer|Romantic|Lialios|
lichfild|Henry Lichfild|Lichfild, Henry|(died 1613)|Lichfild, Henry (died 1613)|Composer|Baroque|Lichfild|
lickl|Johann Georg Lickl|Lickl, Johann Georg|(1769-1843)|Lickl, Johann Georg (1769-1843)|Composer|Classical|Lickl|
lidarti|Cristiano Giuseppe Lidarti|Lidarti, Cristiano Giuseppe|(1730-1795)|Lidarti, Cristiano Giuseppe (1730-1795)|Composer|Classical|Lidarti|
liebe|Christian Liebe|Liebe, Christian|(1654-1708)|Liebe, Christian (1654-1708)|Composer|Baroque|Liebe|
liebmann|Helene Liebmann|Liebmann, Helene|(1796-1835)|Liebmann, Helene (1796-1835)|Composer|Romantic|Liebmann|
ligeti|György Ligeti|Ligeti, György|(1923-2006)|Ligeti, György (1923-2006)|Composer|20th Century|Ligeti|
liimatainen|Liimatainen|Liimatainen||Liimatainen|Composer||Liimatainen|Liimatainen,
lilhardin|Lil Hardin|Hardin, Lil|(1898-1971)|Hardin, Lil (1898-1971)|Composer|20th Century|Hardin|Hardin, Lil
lillo|Giuseppe Lillo|Lillo, Giuseppe|(1814-1863)|Lillo, Giuseppe (1814-1863)|Composer|Romantic|Lillo|
lima|Juan Serqueira de Lima|Lima, Juan Serqueira de|(c1655-c1726)|Lima, Juan Serqueira de (c1655-c1726)|Composer|Baroque|Lima|
lindalaukamp|Linda Laukamp|Laukamp, Linda||Laukamp, Linda|Composer||Laukamp|Laukamp, Linda
lindasundblad|Linda Sundblad|Sundblad, Linda||Sundblad, Linda|Composer||Sundblad|Sundblad, Linda
lindathompson|Linda Thompson|Thompson, Linda||Thompson, Linda|Composer||Thompson|Thompson, Linda
lindblad|Otto Lindblad|Lindblad, Otto|(1809-1864)|Lindblad, Otto (1809-1864)|Composer|Romantic|Lindblad|
lindemann|Gottfried Lindemann|Lindemann, Gottfried|(fl 1713-1741; d. 1741)|Lindemann, Gottfried (fl 1713-1741; d. 1741)|Composer|Baroque|Lindemann|
lindyrobbins|Lindy Robbins|Robbins, Lindy||Robbins, Lindy|Composer||Robbins|Robbins, Lindy
liroidenavarre|Li Roi De Navarre|Navarre, Li Roi De||Navarre, Li Roi De|Composer||Navarre|Navarre, Li Roi De
lisamiddelhauve|Lisa Middelhauve|Middelhauve, Lisa||Middelhauve, Lisa|Composer||Middelhauve|Middelhauve, Lisa
lisinski|Vatroslav Lisinski|Lisinski, Vatroslav|(1819-1854)|Lisinski, Vatroslav (1819-1854)|Composer|Romantic|Lisinski|
liszt|Franz Liszt|Liszt, Franz|(1811-1886)|Liszt, Franz (1811-1886)|Composer|Romantic|Liszt|
literes|Antonio de Literes|Literes, Antonio de|(1673-1747)|Literes, Antonio de (1673-1747)|Composer|Baroque|Literes|
lithuanianchamberorchestra|Lithuanian Chamber Orchestra|Lithuanian Chamber Orchestra|||Orchestra|||
lithuanianstatesymphonyorchestra|Lithuanian State Symphony Orchestra|Lithuanian State Symphony Orchestra|||Orchestra|||
litolff|Henry Litolff|Litolff, Henry|(1818-1891)|Litolff, Henry (1818-1891)|Composer|Romantic|Litolff|
live|Live|Live||Live|Composer||Live|Live,
liveralis|Andonios Liveralis|Liveralis, Andonios|(1814-1842)|Liveralis, Andonios (1814-1842)|Composer|Romantic|Liveralis|
livkristineespenaeskrull|Liv Kristine Espenaes Krull|Krull, Liv Kristine Espenaes||Krull, Liv Kristine Espenaes|Composer||Krull|Krull, Liv Kristine Espenaes
lobo|Alonso Lobo|Lobo, Alonso|(1555-1617)|Lobo, Alonso (1555-1617)|Composer|Baroque|Lobo|
locatelli|Pietro Antonio Locatelli|Locatelli, Pietro Antonio|(1695-1764)|Locatelli, Pietro Antonio (1695-1764)|Composer|Baroque|Locatelli|
locke|Matthew Locke|Locke, Matthew|(c1621-1677)|Locke, Matthew (c1621-1677)|Composer|Baroque|Locke|
lodovicogiustini|Lodovico Giustini|Giustini, Lodovico|(1685-1743)|Giustini, Lodovico (1685-1743)|Composer|Baroque|Giustini|Lodovico Giustini (1685-1743)
lodovicogrossidaviadana|Lodovico Grossi da Viadana|Viadana, Lodovico Grossi da|(1560-1627)|Viadana, Lodovico Grossi da (1560-1627)|Composer|Renaissance|Viadana|Viadana, Lodovico Grossi da
loeillet|Jacques Loeillet|Loeillet, Jacques|(1685-1748)|Loeillet, Jacques (1685-1748)|Composer|Baroque|Loeillet|
loewe|Carl Loewe|Loewe, Carl|(1796-1869)|Loewe, Carl (1796-1869)|Composer|Romantic|Loewe|
logroscino|Nicola Bonifacio Logroscino|Logroscino, Nicola Bonifacio|(1698-1764)|Logroscino, Nicola Bonifacio (1698-1764)|Composer|Classical|Logroscino|
lohner [it]|Johann Löhner [it]|Löhner [it], Johann|(1645-1705)|Löhner [it], Johann (1645-1705)|Composer|Baroque|Löhner [it]|
lolli|Antonio Lolli|Lolli, Antonio|(1725-1802)|Lolli, Antonio (1725-1802)|Composer|Classical|Lolli|
lonati|Carlo Ambrogio Lonati|Lonati, Carlo Ambrogio|(c1645-1710)|Lonati, Carlo Ambrogio (c1645-1710)|Composer|Baroque|Lonati|
london|Jean-Baptiste Loeillet of London|London, Jean-Baptiste Loeillet of|(1680-1730)|London, Jean-Baptiste Loeillet of (1680-1730)|Composer|Baroque|London|
londonphilharmonicorchestra|London Philharmonic Orchestra|London Philharmonic Orchestra|||Orchestra|||
londonphilharmonicorchestra&chorus|London Philharmonic Orchestra & Chorus|London Philharmonic Orchestra & Chorus|||Orchestra|||
londonsinfonietta|London Sinfonietta|London Sinfonietta|||Orchestra|||
londonsymphonyorchestra|London Symphony Orchestra|London Symphony Orchestra|||Orchestra|||
londonsymphonyorchestra&chorus|London Symphony Orchestra & Chorus|London Symphony Orchestra & Chorus|||Orchestra|||
lonnieturner|Lonnie Turner|Turner, Lonnie||Turner, Lonnie|Composer||Turner|Turner, Lonnie
lorenzani|Paolo Lorenzani|Lorenzani, Paolo|(1640-1713)|Lorenzani, Paolo (1640-1713)|Composer|Baroque|Lorenzani|
lorenzoallegri|Lorenzo Allegri|Allegri, Lorenzo|(1567-1648)|Allegri, Lorenzo (1567-1648)|Composer|Baroque|Allegri|Lorenzo Allegri (1567-1648)
lorinmaazel|Lorin Maazel|Maazel, Lorin|||Conductor||Maazel|
losangeleschamberorchestra|Los Angeles Chamber Orchestra|Los Angeles Chamber Orchestra|||Orchestra|||
losangelesphilharmonicorchestra|Los Angeles Philharmonic Orchestra|Los Angeles Philharmonic Orchestra|||Orchestra|||
lotti|Antonio Lotti|Lotti, Antonio|(c1667-1740)|Lotti, Antonio (c1667-1740)|Composer|Baroque|Lotti|
lougramm|Lou Gramm|Gramm, Lou||Gramm, Lou|Composer||Gramm|Gramm, Lou
louis|Marie Emmanuelle Bayon Louis|Louis, Marie Emmanuelle Bayon|(1746-1825)|Louis, Marie Emmanuelle Bayon (1746-1825)|Composer|Classical|Louis|
louisalbertbourgaultducoudray|Louis-Albert Bourgault-Ducoudray|Bourgault-Ducoudray, Louis-Albert|(1840-1910)|Bourgault-Ducoudray, Louis-Albert (1840-1910)|Composer|Romantic|Bourgault-Ducoudray|Louis-Albert Bourgault-Ducoudray (1840-1910)
louisantoinedornel|Louis-Antoine Dornel|Dornel, Louis-Antoine|(1685-1765)|Dornel, Louis-Antoine (1685-1765)|Composer|Classical|Dornel|Louis-Antoine Dornel (1685-1765)
louisantoinejullien|Louis-Antoine Jullien|Jullien, Louis-Antoine|(1812-1860)|Jullien, Louis-Antoine (1812-1860)|Composer|Romantic|Jullien|Louis-Antoine Jullien (1812-1860)
louisbrassin|Louis Brassin|Brassin, Louis|(1840-1884)|Brassin, Louis (1840-1884)|Composer|Romantic|Brassin|Louis Brassin (1840-1884)
louisclaudedaquin|Louis-Claude Daquin|Daquin, Louis-Claude|(1694-1772)|Daquin, Louis-Claude (1694-1772)|Composer|Classical|Daquin|Louis-Claude Daquin (1694-1772)
louisconstantin|Louis Constantin|Constantin, Louis|(c1585-1657)|Constantin, Louis (c1585-1657)|Composer|Baroque|Constantin|Louis Constantin (c1585-1657)
louiscouperin|Louis Couperin|Couperin, Louis|(c1626-1661)|Couperin, Louis (c1626-1661)|Composer|Baroque|Couperin|Couperin, Louis
louisdecaixdhervelois|Louis de Caix d'Hervelois|d'Hervelois, Louis de Caix|(1670-1760)|d'Hervelois, Louis de Caix (1670-1760)|Composer|Classical|d'Hervelois|Louis de Caix d'Hervelois (1670-1760)
louisdelacosteor lacoste|Louis de La Coste, or Lacoste|or Lacoste, Louis de La Coste,|(c1675-c1750)|or Lacoste, Louis de La Coste, (c1675-c1750)|Composer|Baroque|or Lacoste|Louis de La Coste, or Lacoste (c1675-c1750)
louisdemollier|Louis de Mollier|Mollier, Louis de|(c1613-1688) ([2])|Mollier, Louis de (c1613-1688) ([2])|Composer|Baroque|Mollier|Louis de Mollier (c1613-1688) ([2])
